name_cz,name_en,release_year
Norimberský proces,Judgment at Nuremberg,1961
Philadelphia,Philadelphia,1993
Musíme si pomáhat,,2000
Páni kluci,Gentlemen Boys,1975
Fimfárum Jana Wericha,,2002
Metropolis,,1927
Dva muži ve městě,Two Men in Town,1973
Bídníci,,1958
Ten den přijde,,2016
Volný pád,Falling Down,1993
Kulový blesk,Ball Lightning,1978
Mach a Šebestová k tabuli!,,1985
Malý velký muž,Little Big Man,1970
Jean od Floretty,,1986
X-Men: První třída,X-Men: First Class,2011
Poslední samuraj,The Last Samurai,2003
Poslední Mohykán,The Last of the Mohicans,1992
Co žere Gilberta Grapea,What's Eating Gilbert Grape,1993
Vinnetou,Apache Gold,1963
Skleněné peklo,The Towering Inferno,1974
Asterix v Británii,Asterix in Britain,1986
Skřivánci na niti,Larks on a String,1969
O myších a lidech,Of Mice and Men,1992
Profesionál,The Professional,1981
Laputa: Nebeský zámek,Castle in the Sky,1986
Happy end,Happy End,1967
Pahorek,The Hill,1965
Hrob světlušek,Grave of the Fireflies,1988
Velká země,The Big Country,1958
Světla velkoměsta,City Lights,1931
Svědek obžaloby,Witness for the Prosecution,1957
Zmizelá,Gone Girl,2014
Ďáblův advokát,The Devil's Advocate,1997
Crash,Crash,2004
Fantomas,,1964
"Hoří, má panenko",The Firemen's Ball,1967
Ecce homo Homolka,Behold Homolka,1969
Kristian,Christian,1939
Lady a Tramp,Lady and the Tramp,1955
Životy těch druhých,The Lives of Others,2006
Na sever Severozápadní linkou,North by Northwest,1959
Romeo a Julie,Romeo and Juliet,1968
Volyň,Hatred,2016
Na západní frontě klid,All Quiet on the Western Front,1930
Sowon,Hope,2013
Amélie z Montmartru,Amelie,2001
Žhavé výstřely 2,Hot Shots! Part Deux,1993
Čelisti,Jaws,1975
Toy Story 2: Příběh hraček,Toy Story 2,1999
Zootropolis: Město zvířat,Zootopia,2016
Na Hromnice o den více,Groundhog Day,1993
Planeta opic,Planet of the Apes,1968
Let číslo 93,"V kinech od28.04.2006
										Universal Pictures US",2006
Mary a Max,Mary and Max,2009
"Jestli se rozzlobíme, budeme zlí","Watch Out, We're Mad",1974
Baron Prášil,The Fabulous Baron Munchausen,1961
Kocour v botách: Poslední přání,Puss in Boots: The Last Wish,2022
Hořící Mississippi,Mississippi Burning,1988
Payback: Straight Up,,2006
Otec,The Father,2020
Shake Hands with the Devil,Shake Hands with the Devil,2007
Manon od pramene,Manon of the Spring,1986
Dnes naposled,Today for the Last Time,1958
Harakiri,Harakiri,1962
"Dobrodružství Robinsona Crusoe, námořníka z Yorku","Adventures of Robinson Crusoe, a Sailor from York",1981
Krtek,Here Comes the Mole,2011
Velká ryba,Big Fish,2003
Apollo 13,Apollo 13,1995
Bláznivá střela,The Naked Gun: From the Files of Police Squad!,1988
Výměna,Changeling,2008
Nepřítel státu,Enemy of the State,1998
Pravidla moštárny,The Cider House Rules,1999
Billy Elliot,Billy Elliot,2000
Zuřící býk,Raging Bull,1980
Eva tropí hlouposti,Eva Fools Around,1939
Můj soused Totoro,My Neighbor Totoro,1988
Asterix a překvapení pro Cézara,Asterix vs. Caesar,1985
Persepolis,Persepolis,2007
Železný obr,The Iron Giant,1999
V zajetí rychlosti,The World's Fastest Indian,2005
Údolí včel,The Valley of the Bees,1967
Den Šakala,The Day of the Jackal,1973
Naušika z Větrného údolí,Nausicaä of the Valley of the Wind,1984
Gándhí,Gandhi,1982
Píseň moře,Song of the Sea,2014
Kočka na rozpálené plechové střeše,Cat on a Hot Tin Roof,1958
Byt,The Apartment,1960
Kabinet doktora Caligariho,The Cabinet of Dr. Caligari,1920
Pohádka o Honzíkovi a Mařence,The Tale of John and Mary,1980
Koe no katači,A Silent Voice,2016
Dangal,Dangal,2016
Světla ramp,Limelight,1952
Nebe a peklo,High and Low,1963
Střihoruký Edward,Edward Scissorhands,1990
Doba ledová,Ice Age,2002
Věčný svit neposkvrněné mysli,Eternal Sunshine of the Spotless Mind,2004
21 gramů,21 Grams,2003
Vlasy,Hair,1979
"„Čtyři vraždy stačí, drahoušku“","Four Murders Are Enough, Darling",1970
Klepání na nebeskou bránu,,1997
The Doors,The Doors,1991
Podivné dědictví,Man of the East,1972
Čekej do tmy,Wait Until Dark,1967
Barry Lyndon,Barry Lyndon,1975
Lawrence z Arábie,Lawrence of Arabia,1962
Knoflíková válka,War of the Buttons,1962
Kdysi byli bojovníky,Once Were Warriors,1994
Božské děti,Children of Heaven,1997
Pohádky tisíce a jedné noci,A Thousand and One Nights,1974
Andrej Rublev,Andrei Rublev,1966
Zlaté opojení,The Gold Rush,1925
Rudovous,Red Beard,1965
Dogani,Silenced,2011
Vrah mezi námi,M,1931
Ve službách papeže,The Agony and the Ecstasy,1965
Písečná žena,Woman in the Dunes,1964
Mrtvá nevěsta Tima Burtona,Corpse Bride,2005
Tři veteráni,The Three Veterans,1983
Postřižiny,Cutting It Short,1980
Telefonní budka,Phone Booth,2002
Ukradené Vánoce,The Nightmare Before Christmas,1993
Spáči,Sleepers,1996
Hotel Modrá hvězda,The Blue Star Hotel,1941
Casablanca,Casablanca,1942
Kráska a zvíře,Beauty and the Beast,1991
Uvnitř tančím,Rory O'Shea Was Here,2004
Mise,The Mission,1986
Chicagský tribunál,The Trial of the Chicago 7,2020
"Jaro, léto, podzim, zima... a jaro","Spring, Summer, Fall, Winter... and Spring",2003
Ukradená vzducholoď,The Stolen Airship,1966
Rodinná oslava,The Celebration,1998
"Hádej, kdo přijde na večeři",Guess Who's Coming to Dinner,1967
Stará puška,The Old Gun,1975
Děrsu Uzala,Dersu Uzala,1975
Zloději kol,Bicycle Thieves,1948
Pojistka smrti,Double Indemnity,1944
Krátký film o lásce,A Short Film About Love,1988
Východ slunce,Sunrise,1927
Na vlásku,Tangled,2010
Wind River,Wind River,2017
